Date,Open,High,Low,Close,Volume
03-01-20,1554.7200000,1567.8600000,1553.8000000,1564.1800000,720191214
06-01-20,1560.2300000,1568.3500000,1549.5200000,1568.3500000,634325328
08-01-20,1567.7200000,1590.2100000,1563.1800000,1589.0800000,861605332
09-01-20,1597.2400000,1607.2800000,1590.7700000,1601.7400000,958247896
10-01-20,1602.4800000,1614.6900000,1594.0100000,1614.6900000,739121499
13-01-20,1612.7100000,1620.1700000,1608.5300000,1619.7300000,880289902
14-01-20,1623.2200000,1625.6100000,1602.0300000,1604.9600000,1236136981
15-01-20,1602.2000000,1615.6400000,1588.7300000,1602.2900000,1238573426
16-01-20,1610.9200000,1618.1000000,1608.6400000,1612.7200000,1131818185
17-01-20,1615.1500000,1641.8200000,1614.9500000,1637.7500000,1280762763
20-01-20,1641.2500000,1651.8200000,1641.2500000,1646.6000000,1013170284
21-01-20,1642.1200000,1642.5000000,1622.5800000,1634.3200000,1053785483
22-01-20,1636.4900000,1643.1900000,1612.8700000,1612.8700000,1283488644
23-01-20,1608.5800000,1614.9800000,1593.8100000,1596.1100000,1307299033
24-01-20,1604.3800000,1614.6800000,1597.1600000,1599.8200000,977210435
27-01-20,1584.9700000,1584.9700000,1541.9000000,1541.9000000,1419732748
28-01-20,1550.5100000,1572.7300000,1531.6000000,1572.2300000,1205941072
29-01-20,1580.2500000,1584.2600000,1563.8900000,1570.6500000,1054237073
30-01-20,1563.1200000,1565.7800000,1544.5500000,1544.5500000,1054370043
31-01-20,1559.9800000,1568.8200000,1517.0700000,1517.0700000,1287028434
03-02-20,1509.2000000,1530.7300000,1507.3100000,1521.1600000,1315598590
04-02-20,1523.9700000,1550.2200000,1523.8600000,1547.1900000,1331074049
05-02-20,1549.8500000,1579.6000000,1538.2300000,1560.4800000,1429249916
06-02-20,1569.3300000,1579.0900000,1533.8300000,1539.4200000,1080573554
07-02-20,1543.1300000,1547.9700000,1506.2500000,1518.2300000,1141174854
10-02-20,1516.9900000,1530.0400000,1495.2000000,1503.9500000,1032583176
11-02-20,1509.1600000,1548.2700000,1509.1600000,1539.5600000,1446357148
12-02-20,1542.7200000,1557.9300000,1541.1400000,1557.4400000,1331144887
13-02-20,1553.3200000,1554.0400000,1530.7900000,1543.5000000,1004155676
14-02-20,1542.6500000,1550.1200000,1528.2200000,1534.8900000,810367427
